ExportTag,QualtricsID,Type,Selector,QuestionText,Choices,SubQuestions,HasDisplayLogic
CAC0,QID35,DB,TB,"A bike shop owner who wants to create a social media ad finds the following image on a search engine. The search result is displayed as follows: Chicago Schwinn © 2018 D. Green. All Rights Reserved. The bike shop owner uses the image in the following Facebook ad. The ad is shown to more than 100,000 people.",,,False
CATB0,QID177,DB,TB,"A bike shop owner who wants to create a social media ad finds the following image on a search engine. The search result is displayed as follows: Chicago Schwinn © 2018 by D. Green is licensed under Creative Commons Attribution-NonCommercial 4.0 The bike shop owner uses the image in the following Facebook ad. The ad is shown to more than 100,000 people.",,,False
CATA0,QID1215597202,DB,TB,"A bike shop owner who wants to create a social media ad finds the following image on a search engine. The search result is displayed as follows: Chicago Schwinn © 2018 by D. Green is licensed under CC BY-NC 4.0 The bike shop owner uses the image in the following Facebook ad. The ad is shown to more than 100,000 people.",,,False
FSTA0,QID145,DB,TB,"A college student wants to let others download their favorite music. The student picks a CD released by a major label and distributed nationally. On the back of the CD, this caption appears: Seconds © 2018 by The Kick Bugs is licensed under CC BY 4.0 The student converts the CD to MP3 files, includes the track titles, album name, artist name, and license information in the file metadata and then uploads them to a file-sharing service. The album is downloaded more than 50,000 times on the file-sh",,,False
FSC0,QID151,DB,TB,"A college student wants to let others download their favorite music. The student picks a CD released by a major label and distributed nationally. On the back of the CD, this caption appears: Seconds © 2018 by The Kick Bugs. All Rights Reserved. The student converts the CD to MP3 files, includes the track titles, album name, artist name, and license information in the file metadata and then uploads them to a file-sharing service. The album is downloaded more than 50,000 times on the file-sharing ",,,False
FSTB0,QID195,DB,TB,"A college student wants to let others download their favorite music. The student picks a CD released by a major label and distributed nationally. On the back of the CD, this caption appears: Seconds © 2018 by The Kick Bugs is licensed under Creative Commons Attribution 4.0 Attribution The student converts the CD to MP3 files, includes the track titles, album name, artist name, and license information in the file metadata and then uploads them to a file-sharing service. The album is downloaded mo",,,False
WNC0,QID133,DB,TB,"A concert promoter is looking for a picture of Willie Nelson to promote an upcoming show. The promoter searches for ""Willie Nelson"" on Google and the following image and caption appears. Willie Nelson - Wikipedia Images may be subject to copyright. Learn More The promoter downloads the image, then posts it to several blogs, uses it in social media advertisements, and prints the image as part of a flyer. The image is seen more than 150,000 times without attribution or licensing information.",,,False
WNTA0,QID139,DB,TB,"A concert promoter is looking for a picture of Willie Nelson to promote an upcoming show. The promoter searches for ""Willie Nelson"" on Google and the following image and caption appears. Willie Waving © 2018 by D. Orange is licensed under CC BY-NC-ND 4.0 The promoter downloads the image, then posts it to several blogs, uses it in social media advertisements, and prints the image as part of a flyer. The image is seen more than 150,000 times without attribution or licensing information.",,,False
WNTB0,QID189,DB,TB,"A concert promoter is looking for a picture of Willie Nelson to promote an upcoming show. The promoter searches for ""Willie Nelson"" on Google and the following image and caption appears. Willie Waving © 2018 by D. Orange is licensed under Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International The promoter downloads the image, then posts it to several blogs, uses it in social media advertisements, and prints the image as part of a flyer. The image is seen more than 150,000 tim",,,False
PUC0,QID27,DB,TB,"A new homeowner wants to decorate their living space. They find the following image through a search engine. The search result is presented as follows: Warm Balloon Grid © 2018 by F. Brown. All Rights Reserved. The homeowner downloads the image, prints only the image at poster size, and hangs it up in their living room.",,,False
PUTA0,QID47,DB,TB,"A new homeowner wants to decorate their living space. They find the following image through a search engine. The search result is presented as follows: Warm Balloon Grid &copy; 2018 by F. Brown is licensed under CC BY 4.0 The homeowner downloads the image, prints only the image at poster size, and hangs it up in their living room.",,,False
PUTB0,QID165,DB,TB,"A new homeowner wants to decorate their living space. They find the following image through a search engine. The search result is presented as follows: Warm Balloon Grid © 2018 by F. Brown is licensed under Creative Commons Attribution 4.0 International The homeowner downloads the image, prints only the image at poster size, and hangs it up in their living room.",,,False
PDC0,QID23,DB,TB,An advertising executive at a large company wants to use a picture of Planet Earth for an advertisement. The executive finds the following image and caption on the NASA.gov website: U.S. Government Work The executive uses only the image in a full-page advertisement that runs in national magazines and newspapers as well as their websites.,,,False
PDTA0,QID43,DB,TB,An advertising executive at a large company wants to use a picture of Planet Earth for an advertisement. The executive finds the following image and caption on the NASA.gov website: The Blue Marble by NASA The executive uses only the image in a full-page advertisement that runs in national magazines and newspapers as well as their websites.,,,False
PDTB0,QID159,DB,TB,"An advertising executive at a large company wants to use a picture of Planet Earth for an advertisement. The executive finds the following image and caption on the NASA.gov website: This work (The Blue Marble, by NASA) is free of known copyright restrictions. The executive uses only the image in a full-page advertisement that runs in national magazines and newspapers as well as their websites.",,,False
EUC0,QID31,DB,TB,"An author writes and self-publishes a book of nursery rhymes, ""Pretty Pink Piggies."" On the inside of the book’s front cover, they include this notice: Pretty Pink Piggies © 2018 by S. Baker. All Rights Reserved. At the request of several school systems, a commercial publishing company reprints copies of the author's book and sells 200,000 copies for profit only to those schools. The author's name remains on the book.",,,False
EUTA0,QID51,DB,TB,"An author writes and self-publishes a book of nursery rhymes, ""Pretty Pink Piggies."" On the inside of the book's front cover, they include this notice: Pretty Pink Piggies © 2018 by S. Baker is licensed under CC BY-NC-SA 4.0 A commercial publishing company reprints copies of their book and sells 200,000 copies to schools for profit without permission or an agreement with the author. The author's name remains on the book.",,,False
EUTB0,QID171,DB,TB,"An author writes and self-publishes a book of nursery rhymes, ""Pretty Pink Piggies."" On the inside of the book's front cover, they include this notice: Pretty Pink Piggies &copy; 2018 by S. Baker is licensed under Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International A commercial publishing company reprints copies of their book and sells 200,000 copies to schools for profit without permission or an agreement with the author. The author's name remains on the book.",,,False
LSC0,QID39,DB,TB,"An entrepreneur looking for a new product finds the following image through a search engine. The search result is displayed as follows: © 2018 J. Gray. All Rights Reserved. While downloading the image, the entrepreneur discovers the owner is selling their own posters of the work for $20. The entrepreneur prints six thousand posters with the image and sells them online for $10 each. They do not provide any information about the poster besides the title they make up, “Canyon Crow Poster.” They sel",,,False
LSTA0,QID59,DB,TB,"An entrepreneur looking for a new product finds the following image through a search engine. The search result is displayed as follows: Canyon Crow © 2018 by J. Gray is licensed under CC BY-NC-ND 4.0 While downloading the image, the entrepreneur discovers the owner is selling their own posters of the work for $20. The entrepreneur prints six thousand posters with the image and sells them online for $10 each. They do not provide any information about the poster besides the title they make up, “Ca",,,False
LSTB0,QID183,DB,TB,"An entrepreneur looking for a new product finds the following image through a search engine. The search result is displayed as follows: Canyon Crow © 2018 by J. Gray is licensed under Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International While downloading the image, the entrepreneur discovers the owner is selling their own posters of the work for $20. The entrepreneur prints six thousand posters with the image and sells them online for $10 each. They do not provide any infor",,,False
HISPLAT,QID206,MC,SAVR,"Are you of Spanish, Hispanic, or Latino origin?",1=Yes | 2=No,,False
IDMcD,QID16,MC,SAVR,Do you know the brand associated with this logo?,1=Yes | 2=No,,False
IDCC,QID19,MC,SAVR,Do you know the brand associated with this logo?,1=Yes | 2=No,,False
IDFF,QID18,MC,SAVR,Do you know the brand associated with this logo?,1=Yes | 2=No,,False
ABOUTCC,QID157,DB,TB,"Before looking over the scenarios, please review the following information about the Creative Commons licenses: About CC Licenses Creative Commons licenses give everyone from individual creators to large institutions a standardized way to grant the public permission to use their creative work under copyright law. From the reuser’s perspective, the presence of a Creative Commons license on a copyrighted work answers the question, What can I do with this work? The CC License options There are six ",,,False
RACE,QID207,MC,MAVR,Choose one or more races that you consider yourself to be,1=White or Caucasian | 2=Black or African American | 3=American Indian/Native American or Alaska Native | 4=Asian | 5=Native Hawaiian or Other Pacific Islander | 6=Other | 7=Prefer not to say,,False
TECHINFO,QID64,Meta,Browser,Click to write the question text,1=Browser | 2=Version | 3=Operating System | 4=Screen Resolution | 5=Flash Version | 6=Java Support | 7=User Agent,,False
IDFAKE,QID201,MC,SAVR,Do you know the brand associated with this logo?,1=Yes | 2=No,,False
BRANDSKILLS,QID259,Matrix,Likert,"How familiar are you with the following computer and Internet-related brands? Please choose a number between 1 and 5 where 1 represents ""no understanding"" and 5 represents ""full understanding"" of the item.",1=Creative Commons | 2=Byteyield | 3=Microsoft | 4=Mozilla,1=None | 2=Little | 3=Some | 4=Good | 5=Full,False
NETSKILLS,QID214,Matrix,Likert,"How familiar are you with the following computer and Internet-related items? Please choose a number between 1 and 5 where 1 represents ""no understanding"" and 5 represents ""full understanding"" of the item.",1=Advanced search | 2=Phishing | 3=Spyware | 4=Cache | 5=PDF | 6=Wiki,1=None | 2=Little | 3=Some | 4=Good | 5=Full,False
LOGOINST,QID244,DB,TB,"In the next section, you will be asked whether you recognize four logos associated with brands presented in random order. You will also be asked to identify brands you recognize.",,,False
VIGNINTRO,QID63,DB,TB,"In the next section, you will be presented with seven short hypothetical scenarios in random order. Assume all scenarios are in the U.S. and U.S. law applies. After a five second delay, each scenario will be accompanied by four questions. Please carefully consider the scenario and provide your honest opinion. There are no incorrect answers and your answers will have no impact on your compensation.",,,False
STATE,QID8,MC,DL,In what state or territory do you currently live?,63=Other | 4=AL | 5=AK | 7=AZ | 8=AR | 9=CA | 10=CO | 11=CT | 12=DE | 13=DC | 14=FL | 15=GA | 17=HI | 18=ID | 19=IL | 20=IN | 21=IA | 22=KS | 23=KY | 24=LA | 25=ME | 26=MD | 28=MA | 29=MI | 31=MN | 32=MS | 33=MO | 34=MT | 35=NE | 36=NV | 37=NH | 38=NJ | 39=NM | 40=NY | 41=NC | 42=ND | 44=OH | 45=OK | 46=OR | 48=PA | 50=RI | 51=SC | 52=SD | 53=TN | 54=TX | 55=UT | 56=VT | 57=VA | 59=WA | 60=WV | 61=WI | 62=WY | 115=I live outside the U.S.,,False
CATB4,QID181,TE,SL,"Now imagine that before the use described in the scenario, the bike shop owner and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
CATA4,QID1215597206,TE,SL,"Now imagine that before the use described in the scenario, the bike shop owner and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
PDC4,QID70,TE,SL,"Now imagine that before the use described in the scenario, the executive's company and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
EUTB4,QID175,TE,SL,"Now imagine that before the use described in the scenario, the executive's company and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
PUC4,QID115,TE,SL,"Now imagine that before the use described in the scenario, the homeowner and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
PUTA4,QID116,TE,SL,"Now imagine that before the use described in the scenario, the homeowner and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
PUTB4,QID169,TE,SL,"Now imagine that before the use described in the scenario, the homeowner and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
EUC4,QID80,TE,SL,"Now imagine that before the use described in the scenario, the publishing company and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
EUTA4,QID84,TE,SL,"Now imagine that before the use described in the scenario, the publishing company and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
CAC4,QID106,TE,SL,"Now imagine that before the use described in the scenario, the bike shop owner and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
LSC4,QID120,TE,SL,"Now imagine that before the use described in the scenario, the entrepreneur and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
LSTA4,QID131,TE,SL,"Now imagine that before the use described in the scenario, the entrepreneur and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
LSTB4,QID187,TE,SL,"Now imagine that before the use described in the scenario, the entrepreneur and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
PDTA4,QID72,TE,SL,"Now imagine that before the use described in the scenario, the executive's company and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
PDTB4,QID163,TE,SL,"Now imagine that before the use described in the scenario, the executive's company and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
WNC4,QID137,TE,SL,"Now imagine that before the use described in the scenario, the promoter and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
WNTA4,QID143,TE,SL,"Now imagine that before the use described in the scenario, the promoter and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
WNTB4,QID193,TE,SL,"Now imagine that before the use described in the scenario, the promoter and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
FSTA4,QID149,TE,SL,"Now imagine that before the use described in the scenario, the student and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
FSC4,QID155,TE,SL,"Now imagine that before the use described in the scenario, the student and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
FSTB4,QID199,TE,SL,"Now imagine that before the use described in the scenario, the student and the owner of this work agreed on a price for a non-exclusive license—meaning that the owner can also license the work to others—that allows all of the use described in the scenario. In your opinion, what do you think would be a reasonable price for that license, if any? Please provide a single amount in US dollars:",,,False
CAC1,QID103,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the bike shop owner to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
CATB1,QID178,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the bike shop owner to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
CATA1,QID1215597203,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the bike shop owner to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
LSC1,QID117,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the entrepreneur to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
LSTA1,QID128,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the entrepreneur to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
LSTB1,QID184,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the entrepreneur to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
PDC1,QID25,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the executive's company to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
PDTA1,QID74,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the executive's company to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
PDTB1,QID160,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the executive's company to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
PUC1,QID85,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the homeowner to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
PUTB1,QID166,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the homeowner to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
PUTA1,QID1215596995,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the homeowner to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
WNC1,QID134,MC,SAVR,"On a scale from 1–7, with 7 being the most likely: In your opinion, how likely is the promoter to face legal consequences for this use?",6=1 Extremely unlikely | 7=2 Moderately unlikely | 8=3 Slightly unlikely | 9=4 Neither likely nor unlikely | 10=5 Slightly likely | 11=6 Moderately likely | 12=7 Extremely likely,,False
